index;x;y;z
1;0,46152;0,76810;1,21611
2;0,31119;-0,51874;2,18327
3;-0,39192;0,43120;0,67338
4;-0,49141;-0,82112;1,50652
5;-0,95417;0,02786;1,24856
6;0,23195;0,48785;2,16051
7;-0,26575;-0,56333;0,65904
8;0,88450;-0,01825;1,51832
9;0,38202;-0,83529;1,22771
10;-0,60026;-0,08462;2,18776
11;0,53532;0,04457;0,63808
12;-0,49331;0,77005;1,51958
13;-1,09089;0,33444;1,26363
14;-1,25955;0,99374;0,44468
15;-0,54795;0,24444;1,62779
16;-0,67779;0,94138;0,77940
17;-0,64809;0,90253;1,24685
18;-1,66401;0,74191;0,97038
19;-0,11765;0,55206;1,12426
20;-1,15235;0,33430;0,80133
21;-0,73053;0,49217;0,66661
22;-1,26332;1,31854;1,07575
23;-0,51499;-0,06119;0,94776
24;-1,05944;0,77498;1,42497
25;-0,12721;-0,87854;0,65389
26;-0,53839;-1,77707;1,05093
27;0,22057;-0,40540;0,94532
28;-0,18824;-1,32272;1,40798
29;0,19930;-1,10941;1,24884
30;-0,26809;-1,59053;0,42173
31;-0,00699;-0,61133;1,62085
32;-0,53448;-1,07522;0,76702
33;-0,51445;-1,03802;1,23520
34;0,16258;-1,80637;0,94296
35;-0,50405;-0,39563;1,11552
36;0,23112;-1,15281;0,78574
37;1,12458;0,10140;1,24762
38;1,45895;1,06167;0,92645
39;0,58003;-0,23169;1,10124
40;0,87353;0,77877;0,74762
41;0,82656;0,32510;0,63461
42;1,78225;0,45241;1,08969
43;0,21137;0,42627;0,88282
44;1,18854;0,53665;1,39874
45;0,82004;0,75855;1,20962
46;1,52594;0,55390;0,43743
47;0,48114;0,33184;1,59573
48;1,19640;0,08515;0,78374
49;-1,75735;1,00939;0,95663
50;-1,93384;1,41297;0,29312
51;-1,33530;0,92572;1,16367
52;-1,46378;1,38701;0,49994
53;-1,41249;1,40068;0,84899
54;-2,19697;1,30853;0,74688
55;-1,05509;1,09244;0,78475
56;-1,84505;0,95528;0,62053
57;-1,53637;1,04406;0,47391
58;-1,86432;1,72656;0,72082
59;-1,34310;0,68620;0,72318
60;-1,70687;1,35011;1,03431
61;-0,16253;-1,85218;0,44715
62;-0,56289;-2,49808;0,68557
63;0,03673;-1,50129;0,70152
64;-0,32829;-2,16869;1,00351
65;-0,01372;-2,02775;0,92705
66;-0,26204;-2,38260;0,25868
67;-0,16756;-1,62990;1,14055
68;-0,49105;-1,97467;0,47246
69;-0,52883;-1,94405;0,82217
70;-0,03168;-2,55593;0,70920
71;-0,45991;-1,47581;0,76415
72;0,07791;-2,06767;0,59004
73;1,93455;0,53114;0,86541
74;2,21672;1,26355;0,73031
75;1,50119;0,34923;0,79038
76;1,74875;1,10274;0,58901
77;1,69447;0,77848;0,46025
78;2,43723;0,77652;0,74757
79;1,27507;0,78522;0,68800
80;2,01433;0,82775;1,03636
81;1,73904;1,02220;0,93109
82;2,21317;0,95283;0,29499
83;1,46055;0,69864;1,14441
84;1,96447;0,56005;0,51481
85;-2,25781;1,51106;0,71132
86;-2,43373;1,74504;0,19055
87;-1,92872;1,45068;0,83889
88;-2,06671;1,72390;0,30633
89;-1,99599;1,77024;0,55726
90;-2,59215;1,73185;0,55878
91;-1,74753;1,51617;0,51411
92;-2,35576;1,43844;0,47764
93;-2,13633;1,47110;0,33308
94;-2,33091;2,02076;0,46309
95;-1,98459;1,22339;0,54234
96;-2,20001;1,76915;0,72412
97;-0,20274;-2,58537;0,29542
98;-0,56264;-3,04575;0,41956
99;-0,07404;-2,32784;0,50826
100;-0,41934;-2,80454;0,68385
101;-0,17041;-2,71510;0,67167
102;-0,27549;-2,98099;0,14712
103;-0,29500;-2,40675;0,80428
104;-0,45364;-2,66139;0,26828
105;-0,52988;-2,63023;0,51993
106;-0,17852;-3,11334;0,51311
107;-0,44826;-2,28375;0,48172
108;-0,05734;-2,75544;0,43702
109;2,54485;0,86311;0,58348
110;2,78317;1,41050;0,56199
111;2,20802;0,75473;0,52936
112;2,41890;1,32823;0,46658
113;2,35526;1,10899;0,33242
114;2,92534;1,04103;0,49759
115;2,05488;1,10016;0,52707
116;2,62830;1,05578;0,74280
117;2,42625;1,22342;0,70831
118;2,74195;1,23979;0,20140
119;2,21548;0,96659;0,84187
120;2,54932;0,93070;0,32750
121;-2,63313;1,88082;0,51407
122;-2,80248;2,00555;0,11884
123;-2,37876;1,83306;0,58743
124;-2,51878;1,98380;0,17524
125;-2,44219;2,04226;0,34896
126;-2,88644;2,04576;0,40435
127;-2,27109;1,83600;0,32565
128;-2,72961;1,80608;0,35859
129;-2,57835;1,80341;0,22984
130;-2,69005;2,23432;0,27762
131;-2,45603;1,63513;0,40037
132;-2,57859;2,07022;0,48925
133;-0,24733;-3,13498;0,18401
134;-0,55150;-3,46057;0,22777
135;-0,17009;-2,94420;0,35722
136;-0,47186;-3,28183;0,44189
137;-0,28259;-3,22696;0,46699
138;-0,29854;-3,43076;0,06868
139;-0,37810;-2,98764;0,54425
140;-0,43177;-3,18032;0,12926
141;-0,52162;-3,14953;0,30373
142;-0,28676;-3,52752;0,35273
143;-0,43896;-2,89429;0,28403
144;-0,16829;-3,26613;0,31056
145;3,00133;1,12276;0,38177
146;3,20455;1,51962;0,42227
147;2,74123;1,06274;0,34848
148;2,92249;1,48600;0,36356
149;2,85780;1,34440;0,24015
150;3,28891;1,25129;0,31706
151;2,64345;1,32310;0,40130
152;3,08107;1,24042;0,51912
153;2,93652;1,37643;0,52748
154;3,14558;1,44469;0,13751
155;2,77398;1,17678;0,60548
156;2,99362;1,20607;0,20159
157;-2,91033;2,15252;0,36172
158;-3,06379;2,20670;0,05503
159;-2,72130;2,11357;0,39713
160;-2,86304;2,18397;0,09175
161;-2,77684;2,24057;0,19878
162;-3,11254;2,26329;0,28442
163;-2,66451;2,07985;0,19154
164;-3,00136;2,09239;0,25993
165;-2,90249;2,05495;0,15547
166;-2,95772;2,39772;0,15730
167;-2,80534;1,94742;0,28776
168;-2,87158;2,28447;0,30536
169;-0,28667;-3,54224;0,10359
170;-0,54672;-3,77228;0,10271
171;-0,24740;-3,40464;0,23786
172;-0,49668;-3,64117;0,25263
173;-0,36431;-3,60417;0,30916
174;-0,32889;-3,75816;0,00000
175;-0,43241;-3,42418;0,34750
176;-0,41697;-3,57696;0,03973
177;-0,51059;-3,53604;0,14766
178;-0,34995;-3,83307;0,22835
179;-0,43491;-3,35506;0,14293
180;-0,26511;-3,64736;0,20641
181;3,33830;1,32047;0,23606
182;3,50738;1,61410;0,31184
183;3,14464;1,29308;0,22030
184;3,30612;1,59122;0,27806
185;3,23322;1,51355;0,17443
186;3,56270;1,40725;0,20069
187;3,08634;1,48458;0,30128
188;3,41494;1,39169;0,34245
189;3,31252;1,48965;0,38717
190;3,44699;1,58154;0,08055
191;3,18966;1,34161;0,42584
192;3,33311;1,41581;0,12216